[2024-12-19 15:34:26] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/button/0x842e14fffe63a757/identify/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/0x842e14fffe63a757/set/identify","device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"0x842e14fffe63a757","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"device_class":"identify","entity_category":"config","object_id":"0x842e14fffe63a757_identify","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"payload_press":"identify","unique_id":"0x842e14fffe63a757_identify_zigbee2mqtt"}'
[2024-12-19 15:34:26] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x842e14fffe63a757/linkquality/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"0x842e14fffe63a757","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"0x842e14fffe63a757_linkquality","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/0x842e14fffe63a757","unique_id":"0x842e14fffe63a757_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2024-12-19 15:34:26] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0x842e14fffe63a757/update_state/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"0x842e14fffe63a757","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:update","name":"Update state","object_id":"0x842e14fffe63a757_update_state","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"state_topic":"zigbee2mqtt/0x842e14fffe63a757","unique_id":"0x842e14fffe63a757_update_state_zigbee2mqtt","value_template":"{{ value_json['update']['state'] }}"}'
[2024-12-19 15:34:26] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/0x842e14fffe63a757/update_available/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"0x842e14fffe63a757","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"device_class":"update","enabled_by_default":false,"entity_category":"diagnostic","name":null,"object_id":"0x842e14fffe63a757_update_available","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"payload_off":false,"payload_on":true,"state_topic":"zigbee2mqtt/0x842e14fffe63a757","unique_id":"0x842e14fffe63a757_update_available_zigbee2mqtt","value_template":"{{ value_json['update']['state'] == \"available\" }}"}'
[2024-12-19 15:34:26] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/update/0x842e14fffe63a757/update/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/bridge/request/device/ota_update/update","device":{"identifiers":["zigbee2mqtt_0x842e14fffe63a757"],"manufacturer":"IKEA","model":"TRADFRI control outlet (E1603/E1702/E1708)","name":"0x842e14fffe63a757","sw_version":"2.3.089","via_device":"zigbee2mqtt_bridge_0xbc026efffea9ca8d"},"device_class":"firmware","entity_category":"config","entity_picture":"https://github.com/Koenkk/zigbee2mqtt/raw/master/images/logo.png","json_attributes_template":"{\"in_progress\": {{ iif(value_json['update']['state'] == 'updating', 'true', 'false') }} }","json_attributes_topic":"zigbee2mqtt/0x842e14fffe63a757","latest_version_template":"{{ value_json['update']['latest_version'] }}","latest_version_topic":"zigbee2mqtt/0x842e14fffe63a757","name":null,"object_id":"0x842e14fffe63a757","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"payload_install":"{\"id\": \"0x842e14fffe63a757\"}","state_topic":"zigbee2mqtt/0x842e14fffe63a757","unique_id":"0x842e14fffe63a757_update_zigbee2mqtt","value_template":"{{ value_json['update']['installed_version'] }}"}'
[2024-12-19 15:34:26] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x842e14fffe63a757', payload '{"linkquality":252,"power_on_behavior":null,"state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"update_available":null}'
[2024-12-19 15:34:26] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x842e14fffe63a757', payload '{"linkquality":252,"power_on_behavior":"previous","state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"update_available":null}'
[2024-12-19 15:34:26] info: 	z2m: Successfully configured '0x842e14fffe63a757'
[2024-12-19 15:34:36] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0x842e14fffe63a757', payload ''
[2024-12-19 15:34:36] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/switch/0x842e14fffe63a757/switch/config', payload ''
[2024-12-19 15:34:36] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sophie_Repeater_sophie', payload '{"linkquality":252,"power_on_behavior":"previous","state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"update_available":null}'
[2024-12-19 15:34:36] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/device/rename', payload '{"data":{"from":"0x842e14fffe63a757","homeassistant_rename":true,"to":"Sophie_Repeater_sophie"},"status":"ok","transaction":"1qj8d-3"}'
